Class,Skill Name,Skill Buff or Effect
Lost Vanguard,Now That's Tactics! ," At start of Chain Attack, increases TP by 10. [Rank 5 Master Skill]"
Lost Vanguard,Never again! , Grants 20% chance to absorb attacks dealt to allies within range.
Lost Vanguard,Stay Right There! ," When taking damage, 20% chance to inflict Knockback on assailant."
Signifier,"Cheer Up, Everyone ", Restores nearby allies' HP on Art execution. Amount healed is equal to 50% of user's Healing.
Signifier,I've Got Your Backs , Extends duration of buff effects issued by self by 50%.
Signifier,All About Support , Increases the no. of Field Arts that can be set to the Arts Palette by 1. [Rank 5 Master Skill]
Signifier,We Can Do Better , Restores 5% of HP when a buff is applied. [Rank 15 Master Skill]
Martial Artist,Storm and Stress ," Each time you perform a cancel, boosts damage dealt by 20% (to a maximum of 150%)."
Martial Artist,Flashing Punch , Chained auto-attacks increase attack speed. Auto-attack interval is also shortened.
Martial Artist,Feline Righting Reflex , Ignores Blowdown and Launch by somersaulting. Also has 100% chance to grant Attack Up. [Rank 5 Master Skill]
Martial Artist,Frenzied Combo ," On critical hit, recharge Art used by 30%. [Rank 15 Master Skill]"
Troubador,Endsong , Recharges all allies' Arts by 100% when incapacitated.
Troubador,Dance of Barrages , 12% to keep recharge when using Art. [Rank 5 Master Skill]
Troubador,Dance of Life , Own Arts gain is 100% recharge when an ally is incapacitated.
Troubador,Swiftsong , Boosts all allies' accuracy and evasion by 20%. Does not stack. [Rank 15 Master Skill]
Seraph,Beast Mode , Grants Awakening when damage taken exceeds 25% of max HP.
Seraph,Got the Guts , Boosts damage dealt by 100% when HP is at 85% or lower.
Seraph,Greatest Warrior , Boosts damage by 35% for every enemy in battle (max. 200%). [Rank 5 Master Skill]
Seraph,Universal Annihilation , Boosts damage dealt to toppled and launched targets by 150%. [Rank 15 Master Skill]
Machine Assassin,Chaos Chain , Debuffing an enemy boosts damage dealt by 30% (up to a maximum of 150%).
Machine Assassin,Phantom Strike , Adds 100% chance for attack to be unblockable.
Machine Assassin,Cursed Edge , Boosts damage dealt by 70% when attacking a debuffed enemy. [Rank 5 Master Skill]
Machine Assassin,Anti-Erosion System, Grants 50% resistance to all debuffs. [Rank 15 Master Skill]
Lifesage,Steadfast Feelings , Restores nearby allies' HP on Art execution. AMount healed is equal to 50% of user's Healing.
Lifesage,Instant Regen+ , 25% chance to heal using 100% of Healing Power upon taking damage.
Lifesage,Enhanced Cellular Stimulus , 50% chance on hit to deal 200% of Healing Power as defense-bypassing damage. [Rank 5 Master Skill]
Lifesage,Abundant Oceans ," Reduces damage to allies by 15%, and boosts HP recovery by 15% (does not stack). [Rank 15 Master Skill]"
Royal Summoner,Elemental Boost , Each elemental discharge boosts damage by 40% (up to a maximum of 400%).
Royal Summoner,Essence of Ether , Boosts allies' damage by 30% and reduces enemy Block Rate by 15% (does not stack). [Rank 15 Master Skill]
Royal Summoner,Fortified Ether Guard , Boosts Ether Defense by 20%.  [Rank 5 Master Skill]
Royal Summoner,Here I Shall Stand , Boosts elemental damage by 100% and elemental buff effects by 50%.
