Title,Parent Category,Overview,Arts,Class Skills,Hero Exclusive Arts,ID,URL
Master Driver,Class (Weapon)," 
Master Driver is [[Rex]]'s class, based on his status as the [[Driver|Master Driver]] in {{XC2}}. As a Master Driver, Rex wields the [[Aegis|Firelight Swords]], two swords that are almost identical to [[Pyra]] and [[Mythra]]'s Aegis Swords, but with the Aegis [[Core Crystal]] absent from the swords. He can also combine the two swords into a third sword that closely resembles [[Pneuma]]'s Aegis Sword with the additional blades of energy that appear when charged with energy from [[Siren]]. Rex's [[Battle Arts (XC3)|arts]] in battle primarily consist of his Aegis Sword [[Battle Arts (XC2)|Driver Arts]] from {{XC2|-}}, along with two additional arts that each resemble arts used by [[Zeke]] and [[Mòrag]]. His Talent Art is [[Infinity Blade (XC2)|Infinity Blade]], the attack he and Pneuma used to defeat [[Malos]].

The class focuses primarily on potent area of effect attacks that are especially effective at scoring critical hits.

After completing the [[Challenge Battle Mode|Challenge Battle]] ''[[The Two Saviors]]'', Rex can use the class in the main game as a [[Hero]], but the class cannot be used by anyone else. The class functions the same, but doesn't have [[Sword Bash]] as an art.","{'Infinity Blade': 'AOE/Pierce/Unblockable * Anchor Shot, Front Topple |Topple * Double Spinning Edge, Gain charge on crit. * Dual Blast, AOE/Side Launch |Launch * Cross Blaze, Crit.+ during enemy Art * Rolling Smash (XC2)|Rolling Smash, AOE * Sword Bash, Resistance Down'}","{'Raging Flame': 'Boosts damage dealt by 4-8% when landing a critical hit (up to a maximum of 150%).', 'Lightspeed Blade': 'On critical, ignore enemy defense. Also increases critical hit damage bonus by 30-50 percentage points.', 'Heroic Spirit': 'If an ally is down/has low HP, deal 50-150% more damage and take 20-30% less damage.', 'Flash and Flame': 'Increases Critical Rate by 10-20 percentage points and critical hit damage by 30-50 percentage points. {{clr}}'}",N/A,126313,https://xenoblade.fandom.com/wiki/?curid=126313
Medic Gunner,Class (Weapon)," 
Medic Gunners specialize in healing. They have [[Battle Arts (XC3)|arts]] that deploys a circular field, granting recovery inside a wide area and strengthening companions who enter it. By healing too much, they can be easily targeted by the [[Enemy (XC3)|enemies]]. The Talent Art of the Medic Gunner class is [[Healing Ring]]. Medic Gunner is the initial class of [[Eunie]].
{{clr}}","{'Healing Ring': 'Field / Regenerate |Regenerate', 'Myopic Screen |Myopic Screen': 'Daze |Daze (Rank 1 Master Art)', 'Group Heal': 'AOE / Heal', 'Ether Cannon |Ether Cannon': 'Accuracy down (Rank 10 Master Art)', 'Power Ring': 'Field / Atk Up', 'Vortex |Vortex': 'AOE/Area heal on hit'}","{'Eternal Formation': 'Increases field effect duration by 30-50%. (Rank 15 Master Skill)', 'Medical Mind': 'Boosts amount of HP healed from using healing Arts by 20-30%.', 'Speedy Recovery': 'Boosts speed of ally revival by 20-40% and raises Healing by 5-15.', 'Ninja Healer': 'Reduces aggro generated from healing Arts by 30-50%. (Rank 5 Master Skill)'}",N/A,117097,https://xenoblade.fandom.com/wiki/?curid=117097
Noponic Champion,Class (Weapon)," 
Noponic Champion is the class of [[Ino]]. The [[Blade (XC3)|Blades]] of the Noponic Champion class are known as the Inosabers. The class is unlocked upon completion of the DLC [[Hero Quest]] ''[[Champion of the Nopon]]'', which becomes accessible in Chapter 3 as long as the [[Xenoblade Chronicles 3#Expansion Pass|Expansion Pass]] has been purchased, with [[Noah]] being the class inheritor. The [[Class Rank (XC3)|Class Rank]] limit is increased from 10 to 20 upon completion of the Ascension Quest ''[[The Hope of Noponkind]]''.

The Noponic Champion class gains bonuses when evading attacks, rewarding effective use of evasion Arts. Additionally, it gains bonuses after being incapacitated, allowing the user to grow stronger in protracted battles where the likelihood of being incapacitated is high. Despite being classified as being part of the [[Nopon Caravans]], arts belonging to the Nopon Champion class function like those of Agnian classes.","{'Shining Refrain': 'Evade / Self KO↑', 'Dual Flash': 'High Aggro', 'Refractive Edge': 'Evade / High aggro', 'Tri-Slash': 'Break |Break (Rank 10 Master Art)', 'Lustrous Spike': 'Self KO↑ (Rank 1 Master Art)', 'Dazzling Illusion': 'Eva. up / Faster aggro'}","{'Tit For Tat': 'Whenever an ally in a fixed radius is attacked, boosts recharge of one Art at random by 10-20%.', 'Nanomachine Repair': 'Adds 25% chance to restore HP by 6-8% when evading. (Rank 5 Master Skill)', 'Velocity Gear': 'All Arts except Talent Art gain 6-10% recharge when evading.', 'Overclock': 'Boosts recharge rate by 10-20% each time the character is incapacitated (to a maximum of 25%). (Rank 15 Master Skill)'}","{'Starry Beat': '[[Break (XC3)|Break]]', 'Afterglow': 'Self KO↑', 'Photon Storm': 'Evade / High aggro'}",123894,https://xenoblade.fandom.com/wiki/?curid=123894
Ogre,Class (Weapon)," 
Ogres specialize in smashing [[Enemy (XC3)|enemies]] vigorously with a super-heavy hammer, a powerful weapon with a heavy blow, and also has [[Battle Arts (XC3)|arts]] that can nullify enemy guards. Because of its high attack power, it is easily [[Aggro|targeted]] by enemies. The Talent Art of the Ogre class is [[Pressure Drop]]. It is the initial class of [[Sena]].
{{clr}}","{'Pressure Drop': 'Launch |Launch', 'Big Impact': 'Front Blowdown |Blowdown', 'Hammerhead': 'Side Attack ↑', 'Giant Swing': 'Knockback |Knockback (Rank 1 Master Art)', 'Maximum Voltage': 'Unblockable/Atk Up (Rank 10 Master Art)', 'Cannonball': 'Daze |Dazed ↑'}","{'Fighting Prowess': 'Boosts damage dealt by physical Arts by 30-50%. (Rank 5 Master Skill)', 'Insult to Injury': 'Boosts damage dealt when attacking [[Topple (XC3)|toppled]] enemies by 60-150%.', 'Dynamite Spirit': 'Boosts damage dealt by 20-60% when HP is at 90% or higher. (Rank 15 Master Skill)', 'Fury Smash': 'Increases reaction success rate by 10-45 percentage points.'}",N/A,117280,https://xenoblade.fandom.com/wiki/?curid=117280
Royal Summoner,Class (Weapon)," 
Royal Summoner is the class of [[Melia]]. The [[Blade (XC3)|Blade]] of the Royal Summoner class is the Elemental Staff, which is Melia's [[World Ender]] from {{XCFC}}.

It is unlocked by going to the [[Main Castle Gate]] in [[Keves Castle]] after completing the main story, or in [[New Game + (XC3)|New Game +]]. Completing the [[Hero Quest|Ascension Quest]] ''[[From Atop Her Throne]]'' will increase this class's rank limit from 10 to 20.","{'Element Genesis': 'AOE/Elem. Discharge dmg+', 'Summon Element': 'AOE/Summon Elementals, maximum of 3 elementals (Rank 1 Master Art)', 'Elemental Discharge': 'Release Elementals (Rank 10 Master Art)', 'Shadow Stitch': 'Bind |Bind', 'Starfall': 'AOE / Topple |Topple', 'Power Effect': 'Atk up / Def. down'}","{'Elemental Boost': 'Each elemental discharge boosts damage dealt by 20-40% (up to a maximum of 400%).', 'Essence of Ether': ""Boosts allies' damage by 20-30% and reduces enemy Block Rate by 5-15% (does not stack). (Rank 15 Master Skill)"", 'Fortified Ether Guard': 'Boosts Ether Defense by 10-20%. (Rank 5 Master Skill)', 'Here I Shall Stand': 'Boosts elemental damage by 60-100% and elemental buff effects by 30-50%.'}",{'Starlight Kick': '[[Topple (XC3)|Topple]]'},118553,https://xenoblade.fandom.com/wiki/?curid=118553
Seraph,Class (Weapon)," 
Seraph is the class of [[Cammuravi]]. It employs the use of self-damaging Arts to greatly increase one's damage at lower health values.
It is unlocked after completing the [[Hero Quest]] ''[[A Twist of Fate]]''. The [[Class Rank (XC3)|Class Rank]] maximum is increased to 20 by reaching rank 10 in both Seraph and [[Flash Fencer]] classes, and going to the now-unlocked lab in Colony Omega.","{'Empyrean Salvo |Empyrean Salvo': 'AOE/Blaze |Blaze/Awakening |Awakened+', 'Crimson Lance': 'Side Topple |Topple (Rank 10 Master Art)', 'Flamelord': 'Front attack ↑ (Rank 1 Master Art)', 'Inferno Dance': 'AOE/Dmg to self/Blaze |Blaze', 'Leveling Fire': 'Atk boost/Dmg to self', 'Dragon's Snarl': 'High Crit. Rate/Dmg self'}","{'Beast Mode': 'Grants [[Awakening (XC3)|Awakening]] when damage taken exceeds 45-25% of Max HP.', 'Universal Annihilation': 'Boosts damage to [[Topple (XC3)|toppled]] and [[Launch (XC3)|launched]] targets by 50-150%. (Rank 15 Master Skill)', 'Greatest Warrior': 'Boosts damage by 25-35% for each enemy in battle (max. 200%). (Rank 5 Master Skill)', 'Got the Guts': 'Boosts damage dealt by 60-100% when HP is at 80-85% or lower.'}","{'Sturm und Drang': 'High Crit. Rate/Dmg self', 'Heavenly Spear': 'AOE/Dmg to self/[[Blaze (XC3)|Blaze]]', 'Searing Fury': 'Fast charge'}",118550,https://xenoblade.fandom.com/wiki/?curid=118550
Sharpshooter,Class (Weapon)," 
Sharpshooter is a simple attacking class that provides the party with additional damage and buffs.

It is only used by [[Mwamba]], and cannot be inherited by [[Ouroboros]] members. It is one of three classes (and the only class apart from DLC) with this distinction.","{'Bullet Rush': 'AOE/Unblockable (%)', 'Aero Burst': ""Damage to Agnus↑"",'Rising Blast': 'Side Attack↑', 'Hair Trigger |Hair Trigger': 'Crit. Rate Up', 'Driving Bullet': 'AOE/Accuracy Up', 'Tri-Shot': 'Damage to Machines↑'}","{'Sniper': 'Boosts Dexterity by 10-30%', 'Power Bullet': 'Boosts damage dealt by 10-30% when HP is at 90% or higher.'}",N/A,122485,https://xenoblade.fandom.com/wiki/?curid=122485
Signifer,Class (Weapon)," 
Signifers specialize in giving enhancement or support effects to allies. It is the class of [[Fiona]].

It is unlocked by completing the [[Hero Quest]] ''[[Transparent Dreams]]''. The [[Class Rank (XC3)|Class Rank]] maximum can be increased to 20 by completing the Ascension Quest ''[[A Farewell Reset]]''.","{'Cry of Faith': '2 random buffs (party)', 'Resonant Flag': 'Share own buffs (Rank 10 Master Art)', 'Illuminate': 'AOE / Dmg+ per buff', 'Aureole': '1 random buff (Rank 1 Master Art)', 'Heal Harmony': 'Field / Regenerate', 'Spirited Charge': 'Dmg up per buff'}","{'Cheer Up, Everyone': 'Restore nearby allies\' HP on Art execution. Amount is equal to <abbr title=""Playable characters"">30-50%</abbr>/<abbr title=""Fiona"">40-60%</abbr> of user\'s Healing.', ""We Can Do Better''' (Rank 15 Master Skill):  Restores 3-5% of HP when a buff is applied.\n* '''I've Got Your Backs"": 'Extends duration of buff effects issued by 30-50%.'}","{'Max Effort': '1 random buff', 'Unbreakable Heart': 'Field / Regenerate', 'Lightning Passion': 'Dmg up per buff'}",117779,https://xenoblade.fandom.com/wiki/?curid=117779
Stalker,Class (Weapon)," 
Stalkers wield a bow and specialize at sniping [[Enemy (XC3)|enemies]] with arrows and hunting them from the safety of stealth; while it has low attack power compared to other Attacker classes, it is better able to manage its aggro levels. It is the class of [[Juniper]].

It is unlocked by completing ''[[Natural Selection]]''. The [[Class Rank (XC3)|Class Rank]] maximum is increased to 20 by completing the [[Hero Quest|Ascension Quest]] ''[[Survivors]]''.","{'Refreshing Rain': 'AOE/Wounded enemy↑', 'Landslide': 'Launch |Launched↑ / Evade', 'Staying Power': 'Field / Art Follow-Up', 'Driving Arrow': 'Back Bleed |Bleed', 'Rapid Shot': 'Side attack↑', 'Night Hunt': 'Slower aggro/Back atk+'}","{'Serene Heart': 'Reduces aggro generated from attacks by 25-50%.', 'Swift Death': 'Deals 50-70% more damage against enemies who are at 30% HP or less. (Rank 15 Master Skill)', 'In Cold Blood': 'Boosts damage dealt by 75-150% when attacking an enemy suffering from Bleed.', 'Evasion Expertise': '30-50% chance to evade ranged attacks. (Rank 5 Master Skill)'}","{'Downdraft': 'Back [[Bleed (XC3)|Bleed]]', 'Force of Nature': 'Field / Art Follow-up', 'Liberation Arrow': 'Side attack↑'}",117353,https://xenoblade.fandom.com/wiki/?curid=117353
Strategos,Class (Weapon)," 
Strategos is the class of [[Isurd]]. It is a class that uses [[Blade (XC3)|Disc Launchers]] to assist allies in various ways, as well as weakening foes. 

It is unlocked by completing the [[Hero Quest]] ''[[Unwavering Resolve]]''. The [[Class Rank (XC3)|Class Rank]] maximum can be increased to 20 by completing the Ascension Quest ''[[Effervescent Heart]]''.","{'Soulfire': 'Heal all on hit/Atk down * No Love Lost |No Love Lost, Physical Def. down (Rank 1 Master Art) * Mirror Trap, AOE / Counter Heal * Hornet, Area heal on hit (Rank 10 Master Art) * Moondog, Field / Regenerate |Regenerate  * Earth Bind, Bind'}","{'Strengthening Gambit': 'Extends duration of buff effects issued by 30-50%. (Rank 5 Master Skill)', 'Prowess Gambit': 'Buffing an ally boosts damage dealt by 20-30% (up to a maximum of 200%).', 'Sapping Gambit': 'Extends duration timers of debuffs applied to enemies by 30-50%.', 'Preemption Gambit': '60-100% chance to grant all allies Attack Up on a preemptive attack. (Rank 15 Master Skill)'}","{'Gyreflow': 'Field / Regenerate', 'Razor Wind': 'Area heal on hit', 'Moonshadow': '[[Bind (XC3)|Bind]]'}",118545,https://xenoblade.fandom.com/wiki/?curid=118545
Swordfighter,Class (Weapon)," 
Swordfighters specialize in close-range attacks and they have balanced abilities, especially strong at fighting powerful [[Boss (XC3)|bosses]] and [[Unique Monster (XC3)|Unique Monsters]]. The [[Blade (XC3)|Blade]] of the Swordfighter class is the Veiled Sword.  Swordfighter is the initial class of [[Noah]]. ","{'Overclock Buster': 'Daze |Dazed ↑', 'Ground Beat': 'AOE (Rank 1 Master Art)', 'Sword Strike': 'Side Break |Break', 'Edge Thrust': 'Back Attack ↑', 'Air Slash': 'Cancel attack ↑', 'Shadow Eye': 'Aggro halved / Atk up (Rank 10 Master Art)'}","{'Cypher Edge': 'Boosts Critical Rate by 10-50%. (Rank 5 Master Skill)', 'Sharp Eye': 'Boosts Dexterity by 10-50%.', 'Covert Attack': 'Reduces aggro generated from attacks by 20-65%. (Rank 15 Master Skill)', 'Inspirit': 'Boosts damage dealt by 60-150% when fighting a [[Unique Monster (XC3)|unique]] or [[Boss (XC3)|boss]] monster.'}",N/A,116770,https://xenoblade.fandom.com/wiki/?curid=116770
Tactician,Class (Weapon)," 
Tacticians specialize in supporting allies and disrupting [[Enemy (XC3)|enemies]] by using ether to disguise them. While putting enemies to sleep, he also reduces damage with [[Battle Arts (XC3)|arts]] making evasion easier for his companions. The [[Battle Arts (XC3)|Talent Art]] of Tactician is [[Tidal Wave]]. It is the initial class of [[Taion]].
{{clr}}","{'Tidal Wave': 'AOE / Heal all on hit', 'Dark Banner': 'AOE / Sleep |Sleep (Rank 1 Master Art)', 'Overfall |Overfall': 'Ether Def. down (Rank 10 Master Art)', 'Stormy Skies |Stormy Skies': 'AOE / Heal', 'Hazy Figure': 'Field / Eva. up', 'Avenging Eagle': 'AOE / Eva. down'}","{'Ethereal Ability': 'Boosts damage dealt by ether Arts by 30-50%. (Rank 5 Master Skill)', 'Shieldrender': 'Adds 60-100% chance for attack to be unblockable.', 'Eternal Curse': 'Extends duration timers of debuffs applied to enemies by 30-50%.', 'Inevitable Evitability': '6-10% chance to evade enemy attack. (Rank 15 Master Skill)'}",N/A,117285,https://xenoblade.fandom.com/wiki/?curid=117285
